from,to,weight,title
49,35,1,Last night he claimed several Indian soldiers have been taken out by Paki Snipers and India in retaliation started shelling with the MBRL. According to 'sources' ofcourse. I chose to stay away from these unverified intelligence handles for my own sanity.
49,128,1,Yeah! Modi just pitched the urgent need for the Rafale Jets.
49,119,1,It was about calling out the hypocrisy in Pakistan's peace gesture.
49,125,1,Mostly because they suspect another escalation from India and it seems PAF utilises civilian airports for its operations
50,15,1,And what does real life offer? Nuclear war between two retarded nations?
50,124,1,"Just wait for the 2020 Bollywood rendition where he jumps out of his MiG on to a Pakistani F-16 and bitch slaps the Pakistani pilot into oblivion. Then he jumps back into his plane only to be dropped into Pakistani territory but he manages to survive immense torture from the Pakistani army. Afterwards, he slips past them and escapes to India on foot killing three whole battalions with a 9 MM. The movie stars Ajay Devgan as Abhinandan and Boman Irani as the evil Pakistani Foreign Minister."
50,58,2,"Dont get your panties all twisted, its my Dota 2 and CS:GO gamer nickname. :PSure! "
50,126,1,"Dudes happy with us, look at that smile xD "
51,27,1,This seems actually more of a possibility than SAM precautionary measure 
51,42,1,"Its ridiculous isnt it? Although I cant clearly see whats happening in the video, the commentary says 2 pilots so that means either SU30 or 2seater F16. 2 jets were downed that day the other jet is a fucking mystery! Did it just disappear into thin air? "
51,49,1,Im more inclined to believe it is to stop swarm of journalist coming into the country
51,56,1,what? that's pretty significant!
51,124,2,"He is fighting for our country and for us which brought him to an enemy territory, thats an instant hero and massive amount of well wishes for his safety and return from the public. Many like me had a feeling of dread when I say his captured photographs. I wish I can share the pain and humiliation he faced at the hands of the enemy and the dread especially when the locals tricked him into saying he is Indian pilot, thats must have been  dreadful.Its very simple, if you do not realize he is a hero then you will never realize. "
51,70,1,"Exactly, that one guy said why India not releasing the before after satellite images. IDK how stupid he can be, why would the military want to give away our surveillance capabilities just to prove a point?"
51,72,1,That too at 1 am in the night
51,129,1,Damn some people really are dense
51,83,1,I feel they don't want foreign journalists swarming Balakot
51,116,2,"I feel they don't want foreign journalists swarming Balakot. What do you think?Yep but the cleanup is already done"
52,48,1,excellent!
53,49,1,"Our army doesn't need PR and doesn't need to whitewash a bad image, unlike Pakistan.   India officially released the video of 2016 air strikes in 2018.  It's part of strategy and planning, it's not like they'll give you proofs just because a couple of media houses start claiming random stuff.  "
53,63,1,"On what basis do you think you deserve to know the proof while the operation is going on?Read about some doctrines of war. This is not how militaries is the world function. The army shouldn't be forced to do PR work while the situation is so tense. Once the situation calms down, they can decide what to show and what to keep covert, based on what suits them strategically. "
54,5,1,They're updated only every few months for most locations.
54,68,1,Doesn't hurt to ask if somebody has access to such a service through their work or something. I'm trying to sign up on Planet Labs where you can explore a bit for free.
55,35,1,Finally an Indian ex-Foreign minister to compete with Pakistan's in the most idiotic comments Olympics.
55,36,1,"*Shalom*, you called?"
55,50,1,Nawazuddin Siddiqui as ganjedi Railway Minister.
55,106,1,"This is hilarious. Even better than this onehttps://www.youtube.com/watch?v=rZr5dx57RG0&amp;feature=youtu.be"
55,111,1,Fractal trolling
55,119,1,Your username is hilarious. I think it describes Pakistani media just perfectly :)
55,125,1,"Their radar systems can't handle too many moving targets at a time. So by shutting their airspace, they expect to be able to identify any Indian air force planes coming in for a hit more easily."
56,130,1,that's it? >#=
56,19,1,"huh? that isn't a sensitive area otherwise you would never get any pictures. but we do have pictures which means it isn't sensitive/blocked by google. he said we were being targetted. as in they were the goal, that doesn't mean they were hit. it's been said many times that there was a madressa in that area but missed by few kilometres. "
56,27,2,"wasn't promptly closed. 2 days after is when it closed, when pak caught indian pilot and there were news of a possible attack.fyi reuter, independent and washington post have articles out. try reading them. not a single one supports indian narrative. Attack happened on the 25th actually. Flights were stopped on the day of pilot arrest when escalation was happening.FYI some Indian airports were closed the same day too. &gt;""Srinagar, Jammu and Leh airports were among five airports closed on Wednesday for civilian air traffic shortly after an IAF [Indian Air Force] jet crashed in Kashmirs Budgam district,"" the Press Trust of India, a news agency reported."
56,49,1,"Really? As a Pakistani, when I read NDTV twitter comments, they are usually getting bashed. I thought maybe they're biased. "
56,51,1,"im being sarcastic. i mean seriously? we are going off what ""eye witness"" said now? how the fuck do you know there was a ISI agent or ek-pak army killed? amount of delusion is insane to believe that but not give any attention to satellite verification conducted independently. no one can erase that proof, not pakistan nor india. https://www.aspistrategist.org.au/were-indias-airstrikes-in-pakistan-a-strategy-for-public-approval/"
56,66,2,"because pakistan never denied his existence in pakistan or acknowledged him as a terrorist. what exactly is the big deal? we already know pakistan doesn't acknowledge him as one otherwise there would be a legitimate case for india intl to ask why he isn't in jail. not pakistan. and as the minister claims here, it was supposedly conveyed to him that JeM denied involvement. i think indians need to realize that whether you call them terrorist sor not it doesn't matter. it matters if pakistan does and they dont so there is no ""blunder"" in what the minister has said here. "
